"month","date","sex","species","age","y","x","density","region"
1,2010-01-11,"F","lion",7,-10.1180602226917,36.8065192430926,1.34214174747467,"Ruvuma"
1,2010-01-21,"M","dog",5,-3.91362372373464,32.3096302218311,67.9912414550781,"Shinyanga"
1,2010-01-26,"F","human",77,-3.0824826477741,32.4262840306585,163.757278442383,"Geita"
1,2010-01-29,"F","cat",5,-5.79167853175077,36.3925790218492,63.6623001098633,"Dodoma"
1,2010-01-30,"F","dog",2,-8.87867506201821,33.478406523471,1147.72192382812,"Mbeya"
2,2010-02-12,"F","cat",1,-4.95515000354919,32.9669691996256,235.208602905273,"Tabora"
3,2010-03-18,"M","dog",6,-1.53849308309126,31.6338166376306,237.826232910156,"Kagera"
4,2010-04-05,"F","cat",5,-9.54634669487002,35.1430230553818,18.9114456176758,"Njombe"
5,2010-05-01,"F","jackal",1,-9.66891290888459,37.969739698985,19.4675350189209,"Lindi"
5,2010-05-07,"M","dog",1,-1.37153988933,33.8451898496653,223.420166015625,"Mara"
5,2010-05-27,"M","dog",2,-1.34056801209318,31.7638116758633,349.741729736328,"Kagera"
6,2010-06-01,"F","dog",5,-11.1233233579943,38.5144435476935,40.9259147644043,"Mtwara"
6,2010-06-14,"M","dog",3,-2.45788547562706,32.3519355269963,159.838973999023,"Mwanza"
7,2010-07-02,"F","cat",3,-10.6629822366908,35.6413891907215,3222.87280273438,"Ruvuma"
7,2010-07-17,"M","cat",1,-6.20970101052644,35.8097338622353,431.982025146484,"Dodoma"
7,2010-07-27,"M","dog",4,-5.87259800908866,34.1863061428346,21.5086231231689,"Singida"
8,2010-08-03,"M","dog",4,-4.80068165616753,38.2620314383765,413.447418212891,"Tanga"
8,2010-08-05,"F","cat",1,-8.88204951104778,33.4775753976491,1147.72192382812,"Mbeya"
8,2010-08-09,"F","dog",4,-1.96412523042354,33.8933631380302,118.172973632812,"Mara"
8,2010-08-13,"M","dog",1,-2.08846148591327,33.0113355795804,645.929321289062,"Mwanza"
8,2010-08-23,"M","human",57,-4.21768190547007,34.9716194255984,63.6846618652344,"Manyara"
9,2010-09-04,"F","cat",7,-1.13284776143747,31.7703072311039,131.578125,"Kagera"
9,2010-09-04,"M","dog",4,-7.71714687547731,37.7930861812063,6.46645593643188,"Morogoro"
